TLS Version,Cipherset
TLS 1.3,TLS_AES_128_GCM_SHA256
TLS 1.3,TLS_AES_256_GCM_SHA384
TLS 1.3,TLS_AES_128_CCM_SHA256
TLS 1.2,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
TLS 1.2,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
TLS 1.2,TLS_ECDHE_ECDSA_WITH_AES_128_CCM
TLS 1.2,TLS_ECDHE_ECDSA_WITH_AES_256_CCM
TLS 1.2,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256
TLS 1.2,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384
TLS 1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
TLS 1.2,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256
TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384
TLS 1.2,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256
TLS 1.2,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384
TLS 1.2,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256
TLS 1.2,TLS_DHE_RSA_WITH_AES_256_CBC_SHA384
